"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Algeria","DZA","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.728141784668","94.6377334594727","95.6770172119141","97.1265411376953","97.9197616577148","98.3455963134766","98.5262832641602","99.267219543457","98.8581466674805","","","","","","","100","100","","","","","",
"East Asia & Pacific (excluding high income)","EAP","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Early-demographic dividend","EAR","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.2471237182617","83.3511810302734","83.4016571044922","81.220100402832","80.7410430908203","80.2589111328125","83.080207824707","79.5887298583984","",
"East Asia & Pacific","EAS","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia (excluding high income)","ECA","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.8288879394531","93.2027969360352","94.0791015625","94.4709701538086","93.1580200195313","92.7238998413086","","","90.6584701538086","89.6759262084961","89.6181335449219","89.5358581542969","89.4229278564453","89.3283920288086","89.5850372314453","",
"Europe & Central Asia","ECS","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ecuador","ECU","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.9736404418945","86.927490234375","68.598258972168","69.9101867675781","70.8912734985352","71.0534515380859","71.0565032958984","71.6453094482422","","","","","","","","","","","","","",
"Egypt, Arab Rep.","EGY","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.0687789916992","","82.7154998779297","84.6417465209961","",
"Euro area","EMU","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.7761764526367","71.9698181152344","70.4709091186523","72.6193695068359","80.5226898193359","83.0947265625","83.6061401367188","87.5243225097656","87.1051483154297","80.9328384399414","92.2455825805664","93.8155288696289","90.9787063598633","89.5542526245117","79.8617477416992","70.6870193481445","","","","84.4594573974609","","",
"Spain","ESP","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Estonia","EST","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ethiopia","ETH","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.7170104980469","84.6098709106445","","","","","","","","","","","",
"European Union","EUU","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Fragile and conflict affected situations","FCS","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.6171798706055","83.6588821411133","77.4095993041992","77.4530792236328","78.1524963378906","76.0956802368164","78.5624008178711","79.4509735107422","79.5946884155273","74.8490371704102","77.5712203979492","71.2191390991211","71.8782119750977","72.5425491333008","","","","","",
"Finland","FIN","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Fiji","FJI","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.7913208007813","","","100","100","","","","","","","","",
"France","FRA","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Faroe Islands","FRO","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.8039207458496","",
"Gabon","GAB","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.2583770751953","","100","","","","","","","","","","","","","","","","","",
"United Kingdom","GBR","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Georgia","GEO","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.6991119384766","94.6819305419922","","97.3575820922852","","","","","94.9888534545898","94.58984375","","","","","","","","","","","",
"Ghana","GHA","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.7963714599609","69.09326171875","68.6124114990234","64.9443817138672","62.1085510253906","67.9608383178711","57.8754005432129","61.4824600219727","53.0111999511719","49.0710792541504","47.5666885375977","50.6026191711426","50.6002807617188","52.2658805847168","53.3044204711914","52.3977584838867","54.6945190429688","56.0447692871094","55.373779296875","60.4105491638184","61.5381011962891","",
"Gibraltar","GIB","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.9130401611328","99.0476226806641","100","","","","","","","100","99.5073928833008","","","","","","","85.2941207885742","100","","0","",
"Guinea","GIN","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.0819396972656","67.6950836181641","","82.1452789306641","","","80.376350402832","74.5147171020508","74.1184005737305","75.0039520263672","75.6872634887695","75.3609313964844","","","","",
"Gambia, The","GMB","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.7427062988281","","","","","","","","","","","89.7431716918945","63.4887619018555","81.9169998168945","90.653450012207","85.813720703125","","87.7462463378906","100","87.8427886962891","",
"Guinea-Bissau","GNB","Trained teachers in primary education (% of total teachers)","SE.PRM.TCAQ.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.1248207092285","","","","","","","","","","38.9313011169434","","","","","","","","","","",
